ticker,date,,,,,,,avg_test_qlike
,18/07/2005,,,,,,,0.0693695
,19/07/2005,,,,,,,0.0693695
,20/07/2005,,,,,,,0.0693695
,21/07/2005,,,,,,,0.0693695
,22/07/2005,,,,,,,0.0693695
,25/07/2005,,,,,,,0.0693695
,26/07/2005,,,,,,,0.0693695
,27/07/2005,,,,,,,0.0693695
,28/07/2005,,,,,,,0.0693695
,29/07/2005,,,,,,,0.0693695
,01/08/2005,,,,,,,0.0693695
,02/08/2005,,,,,,,0.0693695
,03/08/2005,,,,,,,0.0693695
,04/08/2005,,,,,,,0.0693695
,05/08/2005,,,,,,,0.0693695
,08/08/2005,,,,,,,0.0693695
,09/08/2005,,,,,,,0.0693695
,10/08/2005,,,,,,,0.0693695
,11/08/2005,,,,,,,0.0693695
,12/08/2005,,,,,,,0.0693695
,15/08/2005,,,,,,,0.0693695
,16/08/2005,,,,,,,0.0693695
,17/08/2005,,,,,,,0.0693695
,18/08/2005,,,,,,,0.0693695
,19/08/2005,,,,,,,0.0693695
,22/08/2005,,,,,,,0.0693695
,23/08/2005,,,,,,,0.0693695
,24/08/2005,,,,,,,0.0693695
,25/08/2005,,,,,,,0.0693695
,26/08/2005,,,,,,,0.0693695
,29/08/2005,,,,,,,0.0693695
,30/08/2005,,,,,,,0.0693695
,31/08/2005,,,,,,,0.0693695
,01/09/2005,,,,,,,0.0693695
,02/09/2005,,,,,,,0.0693695
,06/09/2005,,,,,,,0.0693695
,07/09/2005,,,,,,,0.0693695
,08/09/2005,,,,,,,0.0693695
,09/09/2005,,,,,,,0.0693695
,12/09/2005,,,,,,,0.0693695
,13/09/2005,,,,,,,0.0693695
,14/09/2005,,,,,,,0.0693695
,15/09/2005,,,,,,,0.0693695
,16/09/2005,,,,,,,0.0693695
,19/09/2005,,,,,,,0.0693695
,20/09/2005,,,,,,,0.0693695
,21/09/2005,,,,,,,0.0693695
,22/09/2005,,,,,,,0.0693695
,23/09/2005,,,,,,,0.0693695
,26/09/2005,,,,,,,0.0693695
,27/09/2005,,,,,,,0.0693695
,28/09/2005,,,,,,,0.0693695
,29/09/2005,,,,,,,0.0693695
,30/09/2005,,,,,,,0.0693695
,03/10/2005,,,,,,,0.0693695
,04/10/2005,,,,,,,0.0693695
,05/10/2005,,,,,,,0.0693695
,06/10/2005,,,,,,,0.0693695
,07/10/2005,,,,,,,0.0693695
,10/10/2005,,,,,,,0.0693695
,11/10/2005,,,,,,,0.0693695
,12/10/2005,,,,,,,0.0693695
,13/10/2005,,,,,,,0.0693695
,14/10/2005,,,,,,,0.0693695
,17/10/2005,,,,,,,0.0693695
,18/10/2005,,,,,,,0.0693695
,19/10/2005,,,,,,,0.0693695
,20/10/2005,,,,,,,0.0693695
,21/10/2005,,,,,,,0.0693695
,24/10/2005,,,,,,,0.0693695
,25/10/2005,,,,,,,0.0693695
,26/10/2005,,,,,,,0.0693695
,27/10/2005,,,,,,,0.0693695
,28/10/2005,,,,,,,0.0693695
,31/10/2005,,,,,,,0.0693695
,01/11/2005,,,,,,,0.0693695
,02/11/2005,,,,,,,0.0693695
,03/11/2005,,,,,,,0.0693695
,04/11/2005,,,,,,,0.0693695
,07/11/2005,,,,,,,0.0693695
,08/11/2005,,,,,,,0.0693695
,09/11/2005,,,,,,,0.0693695
,10/11/2005,,,,,,,0.0693695
,11/11/2005,,,,,,,0.0693695
,14/11/2005,,,,,,,0.0693695
,15/11/2005,,,,,,,0.0693695
,16/11/2005,,,,,,,0.0693695
,17/11/2005,,,,,,,0.0693695
,18/11/2005,,,,,,,0.0693695
,21/11/2005,,,,,,,0.0693695
,22/11/2005,,,,,,,0.0693695
,23/11/2005,,,,,,,0.0693695
,25/11/2005,,,,,,,0.0693695
,28/11/2005,,,,,,,0.0693695
,29/11/2005,,,,,,,0.0693695
,30/11/2005,,,,,,,0.0693695
,01/12/2005,,,,,,,0.0693695
,02/12/2005,,,,,,,0.0693695
,05/12/2005,,,,,,,0.0693695
,06/12/2005,,,,,,,0.0693695
,07/12/2005,,,,,,,0.0693695
,08/12/2005,,,,,,,0.0693695
,09/12/2005,,,,,,,0.0693695
,12/12/2005,,,,,,,0.0693695
,13/12/2005,,,,,,,0.0693695
,14/12/2005,,,,,,,0.0693695
,15/12/2005,,,,,,,0.0693695
,16/12/2005,,,,,,,0.0693695
,19/12/2005,,,,,,,0.0693695
,20/12/2005,,,,,,,0.0693695
,21/12/2005,,,,,,,0.0693695
,22/12/2005,,,,,,,0.0693695
,23/12/2005,,,,,,,0.0693695
,27/12/2005,,,,,,,0.0693695
,28/12/2005,,,,,,,0.0693695
,29/12/2005,,,,,,,0.0693695
,30/12/2005,,,,,,,0.0693695
,03/01/2006,,,,,,,0.0693695
