ticker,date,,,,,,,test_qlike
,13/04/2005,,,,,,,0.075270988
,14/04/2005,,,,,,,0.075270988
,15/04/2005,,,,,,,0.075270988
,18/04/2005,,,,,,,0.075270988
,19/04/2005,,,,,,,0.075270988
,20/04/2005,,,,,,,0.075270988
,21/04/2005,,,,,,,0.075270988
,22/04/2005,,,,,,,0.075270988
,25/04/2005,,,,,,,0.075270988
,26/04/2005,,,,,,,0.075270988
,27/04/2005,,,,,,,0.075270988
,28/04/2005,,,,,,,0.075270988
,29/04/2005,,,,,,,0.075270988
,02/05/2005,,,,,,,0.075270988
,03/05/2005,,,,,,,0.075270988
,04/05/2005,,,,,,,0.075270988
,05/05/2005,,,,,,,0.075270988
,06/05/2005,,,,,,,0.075270988
,09/05/2005,,,,,,,0.075270988
,10/05/2005,,,,,,,0.075270988
,11/05/2005,,,,,,,0.075270988
,12/05/2005,,,,,,,0.075270988
,13/05/2005,,,,,,,0.075270988
,16/05/2005,,,,,,,0.075270988
,17/05/2005,,,,,,,0.075270988
,18/05/2005,,,,,,,0.075270988
,19/05/2005,,,,,,,0.075270988
,20/05/2005,,,,,,,0.075270988
,23/05/2005,,,,,,,0.075270988
,24/05/2005,,,,,,,0.075270988
,25/05/2005,,,,,,,0.075270988
,26/05/2005,,,,,,,0.075270988
,27/05/2005,,,,,,,0.075270988
,31/05/2005,,,,,,,0.075270988
,01/06/2005,,,,,,,0.075270988
,02/06/2005,,,,,,,0.075270988
,03/06/2005,,,,,,,0.075270988
,06/06/2005,,,,,,,0.075270988
,07/06/2005,,,,,,,0.075270988
,08/06/2005,,,,,,,0.075270988
,09/06/2005,,,,,,,0.075270988
,10/06/2005,,,,,,,0.075270988
,13/06/2005,,,,,,,0.075270988
,14/06/2005,,,,,,,0.075270988
,15/06/2005,,,,,,,0.075270988
,16/06/2005,,,,,,,0.075270988
,17/06/2005,,,,,,,0.075270988
,20/06/2005,,,,,,,0.075270988
,21/06/2005,,,,,,,0.075270988
,22/06/2005,,,,,,,0.075270988
,23/06/2005,,,,,,,0.075270988
,24/06/2005,,,,,,,0.075270988
