ticker,date,,,,,,,avg_test_qlike
,18/07/2005,,,,,,,0.073197478
,19/07/2005,,,,,,,0.073197478
,20/07/2005,,,,,,,0.073197478
,21/07/2005,,,,,,,0.073197478
,22/07/2005,,,,,,,0.073197478
,25/07/2005,,,,,,,0.073197478
,26/07/2005,,,,,,,0.073197478
,27/07/2005,,,,,,,0.073197478
,28/07/2005,,,,,,,0.073197478
,29/07/2005,,,,,,,0.073197478
,01/08/2005,,,,,,,0.073197478
,02/08/2005,,,,,,,0.073197478
,03/08/2005,,,,,,,0.073197478
,04/08/2005,,,,,,,0.073197478
,05/08/2005,,,,,,,0.073197478
,08/08/2005,,,,,,,0.073197478
,09/08/2005,,,,,,,0.073197478
,10/08/2005,,,,,,,0.073197478
,11/08/2005,,,,,,,0.073197478
,12/08/2005,,,,,,,0.073197478
,15/08/2005,,,,,,,0.073197478
,16/08/2005,,,,,,,0.073197478
,17/08/2005,,,,,,,0.073197478
,18/08/2005,,,,,,,0.073197478
,19/08/2005,,,,,,,0.073197478
,22/08/2005,,,,,,,0.073197478
,23/08/2005,,,,,,,0.073197478
,24/08/2005,,,,,,,0.073197478
,25/08/2005,,,,,,,0.073197478
,26/08/2005,,,,,,,0.073197478
,29/08/2005,,,,,,,0.073197478
,30/08/2005,,,,,,,0.073197478
,31/08/2005,,,,,,,0.073197478
,01/09/2005,,,,,,,0.073197478
,02/09/2005,,,,,,,0.073197478
,06/09/2005,,,,,,,0.073197478
,07/09/2005,,,,,,,0.073197478
,08/09/2005,,,,,,,0.073197478
,09/09/2005,,,,,,,0.073197478
,12/09/2005,,,,,,,0.073197478
,13/09/2005,,,,,,,0.073197478
,14/09/2005,,,,,,,0.073197478
,15/09/2005,,,,,,,0.073197478
,16/09/2005,,,,,,,0.073197478
,19/09/2005,,,,,,,0.073197478
,20/09/2005,,,,,,,0.073197478
,21/09/2005,,,,,,,0.073197478
,22/09/2005,,,,,,,0.073197478
,23/09/2005,,,,,,,0.073197478
,26/09/2005,,,,,,,0.073197478
,27/09/2005,,,,,,,0.073197478
,28/09/2005,,,,,,,0.073197478
,29/09/2005,,,,,,,0.073197478
,30/09/2005,,,,,,,0.073197478
,03/10/2005,,,,,,,0.073197478
,04/10/2005,,,,,,,0.073197478
,05/10/2005,,,,,,,0.073197478
,06/10/2005,,,,,,,0.073197478
,07/10/2005,,,,,,,0.073197478
,10/10/2005,,,,,,,0.073197478
,11/10/2005,,,,,,,0.073197478
,12/10/2005,,,,,,,0.073197478
,13/10/2005,,,,,,,0.073197478
,14/10/2005,,,,,,,0.073197478
,17/10/2005,,,,,,,0.073197478
,18/10/2005,,,,,,,0.073197478
,19/10/2005,,,,,,,0.073197478
,20/10/2005,,,,,,,0.073197478
